id,store,brand,sku,name_ar,name_en,category,subcategory,variant,currency,price,previous_price,availability,width_cm,depth_cm,height_cm,seat_width_cm,seat_depth_cm,seat_height_cm,material_summary,style_tags,room_tags,tier,product_url,image_url,source_checked_at,needs_live_recheck
ikea-sa-09270295,IKEA Saudi Arabia,IKEA,092.702.95,كنبة LANDSKRONA ثلاثية المقاعد,LANDSKRONA 3-seat sofa,sofas,3-seat-sofa,Grann/Bomstad golden-brown/metal,SAR,2995,,available,204,89,78,180,61,44,جلد حبيبي مع قماش مطلي وأرجل معدنية,modern|luxury|warm|leather,living-room|majlis,balanced,https://www.ikea.com/sa/en/p/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal-s09270295/,,2026-07-16,True
ikea-sa-80245051,IKEA Saudi Arabia,IKEA,802.450.51,كنبة STOCKHOLM ثلاثية المقاعد,STOCKHOLM Three-seat sofa,sofas,3-seat-sofa,Seglora natural,SAR,7995,,available,211,88,80,158,59,43,جلد طبيعي بلون طبيعي,premium|scandinavian|natural|leather,living-room|majlis,luxury,https://www.ikea.com/sa/en/p/stockholm-three-seat-sofa-seglora-natural-80245051/,,2026-07-16,True
ikea-sa-50519518,IKEA Saudi Arabia,IKEA,505.195.18,كنبة KIVIK ثنائية المقاعد,KIVIK 2-seat sofa,sofas,2-seat-sofa,Grann/Bomstad black,SAR,3795,4195,available,190,95,83,140,60,45,جلد وقماش مطلي أسود,modern|black|leather,living-room|office,balanced,https://www.ikea.com/sa/en/p/kivik-2-seat-sofa-grann-bomstad-black-50519518/,,2026-07-16,True
ikea-sa-00519525,IKEA Saudi Arabia,IKEA,005.195.25,كنبة KIVIK ثلاثية المقاعد,KIVIK 3-seat sofa,sofas,3-seat-sofa,Grann/Bomstad black,SAR,4495,5295,available,227,95,83,180,60,45,جلد وقماش مطلي أسود,modern|black|leather,living-room|majlis,balanced,https://www.ikea.com/sa/en/p/kivik-3-seat-sofa-grann-bomstad-black-00519525/,,2026-07-16,True
ikea-sa-s89443184,IKEA Saudi Arabia,IKEA,S894.431.84,كنبة KIVIK ثلاثية مع شيزلونج,KIVIK 3-seat sofa with chaise longue,sofas,chaise-sofa,Grann/Bomstad black,SAR,6590,7390,available,280,163,83,230,124,45,جلد وقماش مطلي أسود,modern|sectional|black|leather,living-room|family-room,luxury,https://www.ikea.com/sa/en/p/kivik-3-seat-sofa-with-chaise-longue-grann-bomstad-black-s89443184/,,2026-07-16,True
ikea-sa-s09306708,IKEA Saudi Arabia,IKEA,S093.067.08,كنبة VIMLE رباعية مع شيزلونج,VIMLE 4-seat sofa with chaise longue,sofas,chaise-sofa,Grann/Bomstad black,SAR,8195,,unavailable,322,164,80,292,125,45,جلد وقماش مطلي أسود,modern|sectional|large|black,living-room|family-room|majlis,luxury,https://www.ikea.com/sa/en/p/vimle-4-seat-sofa-with-chaise-longue-grann-bomstad-black-s09306708/,,2026-07-16,True
